horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;plats
0;0;0;9;0;0.0131;827100;0.19;0;0;14018;0;0;59;11;6;4;48.03;9.35;0;0.36;34.13;929;0;1;5;0;0
1;1;0;7;1;0.1038;769500;0.19;1;1;14518;0;0;53;10;6;7;11.35;3.54;1;0.43;5.70;2217;1;1;1;1;1
2;2;0;5;2;0.08900000000000001;719500;0.3;2;1;31282;0;0;23;7;3;1;12.67;3.34;2;0.48;7.73;2285;2;1;6;0;0
3;3;1;8;3;0.0167;873000;0.17;3;2;11640;0;0;75;13;8;11;35.13;6.91;3;0.43;17.72;919;2;1;99;0;0
4;4;0;5;4;0.1278;743900;0.18;4;3;21879;0;0;34;6;6;2;7.48;2.66;4;0.41;9.14;3695;1;1;99;0;0
5;5;1;5;5;0.1285;678500;0.32;2;1;27140;0;0;25;8;1;7;9.63;2.84;2;0.64;6.50;1210;2;1;99;0;0
6;6;0;9;6;0.0118;761100;0.11;5;0;10148;0;1;75;8;5;13;33.20;6.91;5;0.35;56.61;1045;3;1;8;0;0
7;7;0;7;7;0.2261;855080;0.5;5;0;53442;0;0;16;8;0;1;3.65;1.91;6;0.56;4.86;8145;4;1;7;0;0
8;8;0;5;8;0.1343;646700;0.21;6;1;23096;0;0;28;6;4;3;7.08;2.47;1;0.46;10.48;2790;1;1;2;0;1
9;9;0;8;9;0.1059;793090;0.26;7;0;20335;0;1;39;10;5;7;6.88;2.32;7;0.56;5.86;1334;5;1;4;0;0
10;10;0;6;10;0.023700000000000002;684800;0.24;8;3;16702;0;0;41;10;3;7;12.55;3.84;8;0.49;12.26;2825;2;1;99;0;0
11;11;0;8;11;0.0192;703800;0.21;1;1;10054;0;0;70;15;11;7;18.66;4.64;9;0.47;12.05;1560;6;1;3;0;1
0;12;2;5;11;0.0321;205400;0.16;9;4;10810;0;0;19;3;2;4;18.53;3.76;10;0.47;20.03;1430;1;2;3;0;1
1;13;0;5;12;0.0341;205400;0.18;10;5;12082;1;0;17;3;4;2;99.9;99.9;11;0.53;4.38;1450;7;2;s;0;0
2;14;0;6;13;0.1117;241600;0.23;1;4;9292;0;0;26;6;2;2;10.06;2.96;12;0.38;8.72;1705;8;2;d;0;0
3;15;0;6;14;0.1679;217800;0.13;3;5;9075;0;1;24;3;4;1;5.06;2.03;13;0.33;8.08;1615;0;2;d;0;0
4;16;0;4;15;0.035699999999999996;195000;0.19;11;6;12187;0;1;16;3;3;4;18.75;3.76;0;0.63;17.04;1830;0;2;4;0;0
5;17;0;4;4;0.3992;228000;0.21;12;4;16285;0;0;14;3;1;2;2.21;1.39;14;0.43;6.42;1810;5;2;1;1;1
6;18;2;6;7;0.0387;188100;0.15;1;4;7234;0;0;26;4;3;1;16.99;3.94;15;0.31;21.06;1571;9;2;99;0;0
7;19;2;4;5;0.061;165000;0.27;13;7;15000;0;1;11;3;2;3;18.24;3.68;2;0.73;2.95;2400;2;2;7;0;0
8;20;2;5;16;0.0849;233600;0.25;10;5;14600;0;0;16;4;3;0;8.13;2.28;16;0.44;9.59;1365;10;2;2;0;1
9;21;2;5;17;0.0055000000000000005;218600;0.16;9;4;11505;0;0;19;3;1;3;45.48;7.30;17;0.37;23.84;1520;3;2;5;0;0
10;22;2;4;18;0.0034000000000000002;232400;0.18;14;5;13670;0;0;17;3;2;3;59.97;8.65;18;0.47;24.09;1475;5;2;8;0;0
11;23;1;5;19;0.0259;151300;0.4;5;7;15130;0;0;10;4;1;1;20.97;4.10;19;0.6;10.78;2485;10;2;6;0;0
0;24;0;9;20;0.1493;2002650;0.24;15;8;32300;0;1;62;15;12;8;5.94;1.77;20;0.56;10.24;3480;11;3;6;0;0
1;25;1;6;13;0.0163;4028927;0.16;16;9;70682;0;1;57;9;9;3;21.54;3.51;21;0.37;80.48;335;11;3;1;1;1
2;26;0;8;15;0.5932999999999999;4916665;0.4;17;10;67351;0;1;73;29;6;4;1.85;1.24;21;0.53;3.27;5475;11;3;3;0;1
3;27;0;10;21;0.0014000000000000002;2422570;0.15;18;11;23750;0;0;102;15;12;6;102.96;13.55;22;0.32;29.40;145;11;3;99;0;0
4;28;1;8;2;0.0016;2553813;0.06;19;12;41190;0;1;62;4;7;3;134.61;16.09;23;0.23;95.25;362;0;3;7;0;0
5;29;1;7;1;0.0242;2039098;0.07;19;12;30434;0;0;67;5;5;12;20.74;3.74;1;0.33;67.13;316;1;3;4;0;0
6;30;0;10;22;0.0339;2075263;0.12;20;8;19954;0;0;104;12;16;18;13.86;2.49;24;0.44;53.84;2355;5;3;2;0;1
7;31;0;13;23;0.0007000000000000001;2361308;0.2;21;12;18163;0;0;130;26;12;9;230.21;22.06;25;0.36;106.59;219;11;3;5;0;0
8;32;0;13;24;0.0015;2714419;0.13;22;12;15249;1;1;178;24;18;20;99.9;99.9;22;0.35;69.32;750;11;3;s;0;0
9;33;1;6;25;0.1108;2006000;0.32;22;12;48926;0;1;41;13;4;4;6.75;1.78;26;0.51;5.91;6675;1;3;8;0;0
10;34;1;9;12;0.0039000000000000003;2344637;0.26;18;11;55824;1;1;42;11;7;8;99.9;99.9;26;0.62;20.20;1738;1;3;s;0;0
11;35;0;10;4;0.06309999999999999;5263996;0.29;23;8;62666;0;0;84;24;14;7;7.45;2.09;27;0.54;14.31;2350;4;3;utg;0;0
0;36;2;9;24;0.0748;617000;0.13;9;4;7524;0;1;82;11;8;6;10.02;3.34;17;0.3;44.71;1335;3;4;2;0;1
1;37;2;7;14;0.0333;554100;0.09;24;4;11789;0;1;47;4;8;5;14.90;4.00;28;0.36;25.57;1924;11;4;99;0;0
2;38;2;6;2;0.3699;675600;0.09;25;8;12064;0;1;56;5;6;9;3.71;1.88;29;0.36;29.69;1910;7;4;1;1;1
3;39;2;5;11;0.0381;482351;0.15;26;5;14186;0;1;34;5;4;6;14.48;3.78;30;0.44;22.17;1360;2;4;4;0;0
4;40;2;6;26;0.2509;785900;0.24;3;5;21240;0;0;37;9;6;5;3.73;1.70;31;0.54;17.56;2260;12;4;3;0;1
5;41;2;7;10;0.0246;714500;0.1;2;4;14581;0;1;49;5;8;2;22.11;5.58;8;0.31;8.36;1460;2;4;99;0;0
6;42;2;8;27;0.08839999999999999;579340;0.21;27;8;8777;0;1;66;14;11;6;13.74;3.58;32;0.47;19.33;2115;13;4;5;0;0
7;43;2;9;28;0.0051;607750;0.07;3;5;8212;0;1;74;5;12;7;56.79;11.75;33;0.32;15.75;1149;0;4;99;0;0
8;44;2;5;13;0.0526;477011;0.14;28;8;17036;0;0;28;4;9;3;9.35;2.57;34;0.57;4.55;1784;14;4;8;0;0
9;45;2;5;29;0.025;566300;0.23;29;5;21780;0;0;26;6;3;2;17.62;4.18;35;0.42;10.83;1138;6;4;d;0;0
10;46;2;8;30;0.0069;576100;0.07;30;8;9932;0;0;58;4;9;9;27.92;6.12;36;0.38;47.90;930;0;4;6;0;0
11;47;2;6;31;0.0304;637000;0.19;31;8;17694;0;0;36;7;2;4;14.41;3.69;37;0.36;9.83;1915;5;4;7;0;0
0;48;1;6;32;0.19390000000000002;1640500;0.32;32;5;86342;1;1;19;6;5;3;99.9;99.9;38;0.74;10.47;5380;11;5;s;0;0
1;49;0;8;4;0.0134;1236400;0.09;23;8;12746;0;0;97;9;12;12;29.64;4.52;39;0.34;30.08;695;1;5;4;0;0
2;50;0;8;13;0.0725;1029900;0.13;33;12;16883;1;1;61;8;8;7;10.99;3.71;20;0.38;7.81;920;11;5;99;0;0
3;51;0;6;3;0.2498;1122300;0.23;23;8;26100;0;1;43;10;5;7;3.52;1.66;4;0.51;21.34;1730;1;5;7;0;0
4;52;0;7;24;0.1634;1167112;0.17;17;10;19451;0;1;60;10;11;4;4.50;1.94;17;0.42;9.28;1760;3;5;5;0;0
5;53;0;6;11;0.030299999999999997;945512;0.15;23;8;28651;0;0;33;5;11;2;13.87;3.52;40;0.55;16.28;2160;13;5;1;1;1
6;54;0;6;7;0.05;1237400;0.08;34;8;25253;0;0;49;4;7;12;13.94;3.57;41;0.47;28.19;625;15;5;3;0;1
7;55;1;6;33;0.129;1567500;0.19;30;8;42364;0;1;37;7;7;3;6.14;2.23;5;0.46;19.39;4400;3;5;2;0;1
8;56;0;8;34;0.0108;1426700;0.18;25;8;17833;0;0;80;14;10;16;25.10;5.83;42;0.5;10.07;505;10;5;99;0;0
9;57;0;12;35;0.0040999999999999995;1470000;0.18;23;8;11484;0;1;128;23;22;17;36.28;7.44;43;0.48;56.51;1580;9;5;6;0;0
10;58;0;8;36;0.0623;1182200;0.15;30;8;13908;0;0;85;13;8;6;8.63;2.52;44;0.32;23.20;1150;7;5;8;0;0
11;59;0;7;19;0.020499999999999997;1582900;0.2;35;5;35175;0;0;45;9;8;6;17.41;4.60;45;0.51;16.49;1645;11;5;99;0;0
0;60;2;4;37;0.19260000000000002;150567;0.4;36;3;15056;0;0;10;4;1;1;4.49;2.08;46;0.6;3.18;1815;6;6;3;0;1
1;61;2;5;38;0.0069;149300;0.13;37;0;9331;0;0;16;2;4;1;41.16;10.03;47;0.44;13.69;1185;16;6;1;1;1
2;62;2;4;13;0.0025;136000;0.22;4;3;15111;1;0;9;2;1;1;99.9;99.9;48;0.44;8.82;1195;11;6;s;0;0
3;63;2;4;36;0.0029;247800;0.0;8;3;10325;0;0;24;0;1;5;104.18;15.39;44;0.25;71.45;1005;7;6;5;0;0
4;64;2;6;12;0.050300000000000004;421100;0.23;13;0;13583;0;1;31;7;2;3;11.45;3.89;49;0.39;25.52;1774;17;6;8;0;0
5;65;2;5;14;0.0775;232510;0.21;13;0;8017;0;0;29;6;4;2;10.88;3.03;13;0.41;16.38;680;0;6;99;0;0
6;66;2;5;11;0.0189;409900;0.13;37;0;13222;0;0;31;4;5;7;24.75;5.56;9;0.52;21.91;1360;6;6;99;0;0
7;67;2;5;39;0.013500000000000002;379500;0.1;13;0;18975;0;0;20;2;5;2;30.16;7.79;50;0.45;44.88;2310;7;6;99;0;0
8;68;2;7;33;0.166;1317500;0.19;38;2;24858;0;1;53;10;10;3;7.18;2.45;5;0.43;17.44;2135;3;6;99;0;0
9;69;2;6;4;0.0567;1153000;0.16;26;2;26813;0;0;43;7;4;2;12.12;3.76;51;0.3;31.43;1575;6;6;7;0;0
10;70;2;8;3;0.0354;1131300;0.22;9;1;19505;0;0;58;13;4;4;27.39;7.08;52;0.36;10.28;2130;2;6;utg;0;0
11;71;2;7;5;0.2024;1182360;0.46;39;2;42227;0;0;28;13;4;0;4.45;2.06;8;0.61;7.10;3310;2;6;2;0;1
12;72;2;6;10;0.1264;1203100;0.23;26;2;30077;0;0;40;9;8;2;9.28;2.58;8;0.48;12.71;3235;2;6;99;0;0
13;73;2;7;7;0.044199999999999996;959584;0.2;14;2;19583;0;0;49;10;10;6;15.35;3.99;8;0.53;14.51;1120;2;6;6;0;0
14;74;2;8;20;0.0037;508778;0.1;13;0;5916;0;0;86;9;12;12;79.06;16.56;53;0.38;54.46;690;14;6;4;0;0
0;75;0;6;5;0.3975;363800;0.64;40;7;25985;0;0;14;9;0;0;2.60;1.51;2;0.64;2.31;1628;2;7;1;1;1
1;76;0;6;31;0.0226;420800;0.11;41;7;12022;0;1;35;4;3;6;12.75;3.28;54;0.37;14.85;1440;0;7;utg;0;0
2;77;0;5;14;0.0161;335100;0.11;6;4;18616;0;1;18;2;3;8;27.03;4.61;13;0.72;20.25;1915;0;7;4;0;0
3;78;0;6;7;0.027200000000000002;443683;0.26;42;5;11675;1;1;38;10;7;7;99.9;99.9;55;0.63;4.78;2425;11;7;s;0;0
4;79;1;6;8;0.1741;480406;0.35;32;5;12983;0;0;37;13;6;3;5.53;1.98;1;0.59;4.61;1620;1;7;utg;0;0
5;80;0;5;21;0.0875;467900;0.24;39;5;18716;0;0;25;6;3;2;10.14;2.48;56;0.44;7.10;2080;11;7;3;0;1
6;81;0;5;16;0.0049;438100;0.19;26;5;16225;0;1;27;5;5;2;46.80;7.45;16;0.44;13.50;1350;10;7;2;0;1
7;82;0;8;40;0.1155;403453;0.14;43;7;8069;0;0;50;7;8;6;6.38;2.23;57;0.42;10.30;1585;12;7;d;0;0
8;83;1;4;3;0.0341;360500;0.38;42;5;45062;0;0;8;3;2;0;14.22;2.91;4;0.63;32.36;2780;1;7;utg;0;0
9;84;0;5;15;0.1057;473662;0.23;10;5;15279;0;0;31;7;1;4;7.48;2.32;54;0.39;18.81;2150;0;7;5;0;0
10;85;1;5;2;0.012;445100;0.36;26;5;20231;1;0;22;8;2;1;99.9;99.9;58;0.5;6.12;2265;9;7;s;0;0
11;86;0;5;41;0.0028000000000000004;299000;0.17;44;4;10310;0;0;29;5;1;5;58.15;11.00;6;0.38;13.94;1320;4;7;6;0;0
0;68;2;7;33;0.0264;1207500;0.19;34;8;23221;0;1;52;10;9;3;30.41;4.24;5;0.42;11.89;1335;3;1;2;0;1
1;87;2;9;42;0.14529999999999998;2938022;0.22;17;10;48967;0;1;60;13;8;12;5.10;2.02;59;0.55;32.67;815;4;1;8;0;0
2;88;2;6;43;0.1047;1042000;0.25;23;8;52100;0;1;20;5;3;2;10.90;2.55;60;0.5;3.60;1730;16;1;5;0;0
3;89;2;6;44;0.2152;919000;0.28;32;5;31689;0;1;29;8;3;5;3.17;1.40;20;0.55;5.52;2255;11;1;1;1;1
4;90;2;8;4;0.2796;4672390;0.26;45;12;76596;0;0;61;16;8;9;3.32;1.47;61;0.54;20.42;1540;7;1;3;0;1
5;91;2;5;40;0.1431;1292593;0.19;46;13;34934;0;1;37;7;3;4;7.61;2.22;62;0.38;29.76;2070;12;1;6;0;0
6;72;2;6;5;0.069;1168100;0.23;47;12;29951;0;1;39;9;8;2;11.40;2.48;8;0.49;11.92;4235;2;1;4;0;0
7;92;2;5;3;0.0167;2417750;0.16;23;8;65344;0;1;37;6;6;6;45.67;5.69;44;0.49;51.54;2700;7;1;7;0;0
0;93;1;4;24;0.08650000000000001;293700;0.4;37;7;29370;0;0;10;4;0;0;11.32;2.15;63;0.4;26.72;1797;11;2;4;0;0
1;94;0;5;5;0.6335999999999999;355500;0.6;48;4;35550;0;0;10;6;3;0;1.52;1.10;2;0.9;1.67;3750;2;2;1;1;1
2;95;1;4;43;0.0096;212900;0.08;6;4;17741;0;1;12;1;2;2;47.03;6.76;60;0.42;30.13;824;16;2;5;0;0
3;77;0;5;14;0.0152;273100;0.12;6;4;16064;0;1;17;2;3;7;31.28;3.29;13;0.71;14.93;1405;0;2;3;0;1
4;96;1;4;20;0.17420000000000002;285246;0.28;6;4;15847;0;1;18;5;3;1;4.59;1.58;64;0.5;7.48;2235;14;2;2;0;1
5;97;0;6;39;0.0275;338300;0.15;9;4;8251;0;0;41;6;6;1;18.53;3.85;65;0.32;35.54;2284;1;2;99;0;0
6;98;0;5;40;0.0148;291700;0.14;41;7;13890;0;1;21;3;5;1;47.09;5.28;5;0.43;10.88;1855;3;2;d;0;0
7;99;2;6;45;0.0125;298100;0.25;32;5;12420;0;0;24;6;5;2;40.60;6.06;66;0.54;8.03;1880;15;2;6;0;0
8;100;0;5;2;0.014199999999999999;303000;0.17;49;7;16833;0;0;18;3;4;1;46.01;5.61;67;0.44;8.31;1620;2;2;d;0;0
9;101;1;5;46;0.0059;258000;0.16;0;7;13578;0;0;19;3;5;3;50.61;7.36;68;0.58;5.44;1600;18;2;99;0;0
10;102;0;6;47;0.0017000000000000001;283200;0.15;13;7;8581;0;0;33;5;4;1;123.44;16.32;69;0.3;10.05;1984;11;2;8;0;0
11;103;2;5;4;0.0045000000000000005;351000;0.35;6;4;20647;0;0;17;6;2;1;81.48;10.20;70;0.53;16.29;1980;7;2;7;0;0
0;104;1;5;20;0.12210000000000001;439636;0.29;24;4;20935;0;0;21;6;3;1;7.27;2.81;71;0.48;14.42;2498;1;3;99;0;0
1;105;0;6;25;0.14550000000000002;487500;0.25;35;5;20312;0;0;24;6;6;2;6.15;2.70;26;0.58;4.34;1520;1;3;5;0;0
2;106;0;6;4;0.0711;549300;0.2;1;4;13732;0;1;40;8;4;5;13.85;3.55;72;0.43;9.93;2610;5;3;99;0;0
3;4;0;5;8;0.1232;523900;0.15;15;8;15875;0;1;33;5;6;2;4.87;2.25;4;0.39;15.08;1200;1;3;1;1;1
4;107;0;6;48;0.2351;569650;0.19;12;4;18375;0;0;31;6;2;3;4.75;1.82;14;0.35;23.69;4435;5;3;2;0;1
5;108;0;6;33;0.0172;467600;0.19;9;4;12988;0;1;36;7;5;2;31.20;6.79;5;0.39;12.48;1335;3;3;8;0;0
6;109;0;5;49;0.020099999999999996;587814;0.02;25;8;13995;0;1;42;1;8;6;30.54;5.66;73;0.36;16.57;2695;1;3;4;0;0
7;110;0;5;7;0.0207;513900;0.16;27;8;27047;0;1;19;3;5;2;33.54;6.74;60;0.53;18.35;2490;16;3;99;0;0
8;111;0;5;43;0.08439999999999999;482200;0.39;20;8;26788;0;1;18;7;3;0;11.51;3.47;60;0.56;5.95;2315;16;3;99;0;0
9;112;1;4;13;0.0999;588800;0.27;25;8;22646;0;1;26;7;1;3;11.06;3.04;74;0.42;12.24;3450;19;3;6;0;0
10;113;0;6;11;0.0366;451800;0.28;25;8;18072;0;0;25;7;5;1;16.70;4.51;61;0.52;8.83;2430;7;3;3;0;1
11;114;0;6;44;0.0241;503000;0.23;14;5;22863;0;1;22;5;3;4;17.41;4.42;20;0.55;12.63;1635;11;3;7;0;0
0;115;2;7;48;0.023;376300;0.07;43;0;8180;0;0;46;3;5;8;23.62;4.64;14;0.35;19.45;1830;5;4;99;0;0
1;116;2;4;13;0.3436;286219;0.4;13;0;28621;0;0;10;4;5;0;3.22;1.72;75;0.9;2.34;3305;2;4;d;0;0
2;117;2;6;44;0.0989;297140;0.4;36;3;19809;0;0;15;6;4;2;13.05;3.50;76;0.8;2.55;3311;11;4;d;0;0
3;118;2;6;50;0.0788;333771;0.27;36;3;22251;0;0;15;4;4;1;7.51;2.41;77;0.6;13.60;3202;14;4;99;0;0
4;67;2;5;39;0.0558;373500;0.11;13;0;19657;0;0;19;2;5;2;12.45;3.45;50;0.47;44.30;2255;7;4;8;0;0
5;74;2;8;51;0.0029;469278;0.11;49;0;5586;0;0;84;9;12;12;114.84;18.18;53;0.39;29.33;489;14;4;4;0;0
6;37;2;7;14;0.005600000000000001;492100;0.09;40;0;10697;0;0;46;4;8;4;71.81;11.72;28;0.35;14.64;1209;11;4;3;0;1
7;64;2;6;52;0.0036;406100;0.23;13;0;13536;0;1;30;7;2;3;62.74;12.05;49;0.4;14.48;1824;17;4;6;0;0
8;119;2;5;11;0.2608;799796;0.46;39;2;33324;0;0;24;11;3;5;3.62;1.73;30;0.79;5.26;4630;2;4;1;1;1
9;120;2;6;46;0.0097;614300;0.1;1;1;20476;0;0;30;3;4;8;52.43;8.54;68;0.5;20.90;2355;18;4;99;0;0
10;121;2;5;43;0.0337;945000;0.13;43;0;39375;0;0;24;3;2;6;17.84;3.89;60;0.46;26.91;880;16;4;99;0;0
11;73;2;7;5;0.020099999999999996;937584;0.21;14;2;19533;0;0;48;10;10;6;21.82;5.61;8;0.54;10.95;1325;2;4;5;0;0
12;122;2;6;7;0.008199999999999999;494800;0.12;40;0;14552;0;0;34;4;7;6;57.10;10.03;61;0.5;32.71;479;7;4;7;0;0
13;123;2;6;40;0.042300000000000004;848600;0.2;24;1;21215;0;0;40;8;6;2;12.22;3.33;78;0.4;17.70;2450;3;4;2;0;1
14;124;2;6;4;0.013000000000000001;579900;0.41;0;0;26359;1;0;22;9;1;1;99.9;99.9;79;0.5;4.62;3568;19;4;s;0;0
0;125;1;6;13;0.0582;1208123;0.23;34;8;21195;0;0;57;13;10;6;10.09;2.73;75;0.51;9.13;2650;2;5;99;0;0
1;126;1;6;20;0.1093;1241347;0.21;50;8;26411;0;0;47;10;11;9;6.69;2.15;80;0.64;25.51;829;14;5;8;0;0
2;54;0;6;44;0.013300000000000001;1236900;0.08;34;8;25768;0;0;48;4;7;12;35.46;5.47;41;0.48;21.90;755;15;5;d;0;0
3;127;0;7;43;0.1765;1083800;0.22;51;12;20070;0;0;54;12;8;11;4.98;1.86;81;0.57;6.65;3580;19;5;99;0;0
4;51;0;6;4;0.0158;1052300;0.24;23;8;25054;0;1;42;10;5;6;21.02;4.12;4;0.5;22.43;1340;1;5;3;0;1
5;128;0;8;7;0.4925;1039000;0.28;50;8;25975;0;0;40;11;7;2;2.46;1.49;81;0.5;5.01;6450;19;5;2;0;1
6;129;1;6;8;0.0062;1051190;0.13;34;8;26279;0;0;40;5;7;4;48.82;8.62;1;0.4;13.19;1140;1;5;6;0;0
7;130;1;8;40;0.0276;1718500;0.19;50;8;23222;0;1;74;14;10;6;16.90;4.04;5;0.41;10.00;3655;3;5;7;0;0
8;33;1;6;25;0.0764;1756000;0.3;22;12;43900;0;1;40;12;4;4;9.41;2.75;26;0.5;6.00;3880;1;5;1;1;1
9;131;0;6;5;0.0038;1390000;0.38;26;5;57916;1;0;24;9;4;3;99.9;99.9;2;0.67;5.09;4805;2;5;s;0;0
10;58;0;8;3;0.0048;1142700;0.16;30;8;13767;0;1;83;13;8;6;49.67;7.82;44;0.33;26.25;1365;7;5;4;0;0
11;55;1;6;33;0.015600000000000001;1543500;0.19;30;8;42875;0;0;36;7;7;3;23.86;4.44;5;0.47;15.89;4910;3;5;5;0;0
0;132;1;8;12;0.19640000000000002;4419540;0.34;52;12;94032;0;1;47;16;6;7;5.79;2.15;26;0.62;5.67;1035;1;6;99;0;0
1;133;1;11;40;0.0052;2669232;0.22;50;8;25181;0;0;106;23;11;15;53.31;9.24;82;0.46;17.43;1135;4;6;5;0;0
2;134;0;7;44;0.0363;2089167;0.25;23;8;22957;0;0;91;23;17;10;18.09;3.79;83;0.55;13.42;2820;14;6;8;0;0
3;135;0;11;53;0.0026;2179450;0.1;22;12;10843;0;1;201;20;25;22;91.37;11.54;84;0.33;75.85;1015;8;6;99;0;0
4;136;0;8;32;0.136;2124750;0.16;34;8;34831;0;1;61;10;9;10;4.74;1.90;20;0.48;7.10;2105;11;6;1;1;1
5;137;0;9;4;0.19210000000000002;2297127;0.21;46;14;29450;0;1;78;16;11;6;5.15;1.95;85;0.42;11.25;7825;1;6;99;0;0
6;138;0;11;43;0.1557;8704415;0.38;53;15;133914;0;1;65;25;17;8;5.95;2.14;60;0.77;11.18;1995;16;6;6;0;0
7;139;0;9;20;0.0046;3545070;0.12;17;10;35808;0;0;99;12;8;15;76.49;10.26;80;0.35;39.52;1294;14;6;99;0;0
8;30;0;10;22;0.0049;1995263;0.12;20;8;19371;0;0;103;12;16;17;54.82;6.97;24;0.44;45.98;1755;5;6;3;0;1
9;140;0;9;54;0.0482;2244505;0.23;50;8;28775;0;0;78;18;13;11;12.97;3.49;86;0.54;24.68;2744;12;6;2;0;1
10;26;0;8;7;0.2168;4871665;0.4;17;10;67662;0;1;72;29;6;4;4.38;1.95;21;0.54;3.47;4980;11;6;4;0;0
11;25;1;6;13;0.0014000000000000002;4018927;0.16;16;9;71766;0;1;56;9;9;3;93.71;13.67;21;0.38;70.84;240;11;6;7;0;0
0;141;0;5;43;0.15439999999999998;889332;0.31;3;5;24703;0;0;36;11;5;1;6.82;2.38;87;0.47;3.85;3591;14;7;d;0;0
1;142;0;6;2;0.1161;899985;0.28;25;8;17999;0;0;50;14;13;5;6.91;2.07;67;0.64;6.44;1315;2;7;3;0;1
2;143;0;7;13;0.1794;866700;0.18;52;12;19260;0;1;45;8;5;7;5.27;2.00;75;0.44;10.71;3035;2;7;6;0;0
3;144;0;5;7;0.3614;775500;0.32;26;5;31020;0;1;25;8;3;4;2.69;1.47;5;0.6;5.09;3700;3;7;1;1;1
4;38;2;6;3;0.0045000000000000005;640600;0.09;25;8;11647;0;1;55;5;6;9;71.25;11.01;29;0.36;18.15;1720;7;7;4;0;0
5;145;0;6;20;0.005600000000000001;574000;0.19;3;5;17937;0;0;32;6;9;5;64.74;9.03;78;0.63;13.73;1515;3;7;99;0;0
6;6;0;9;6;0.0024;739100;0.11;44;4;9987;0;1;74;8;5;13;73.75;12.92;5;0.35;49.12;1450;3;7;5;0;0
7;146;0;6;4;0.021400000000000002;935152;0.26;14;5;22265;0;1;42;11;6;11;24.93;4.52;88;0.67;9.31;2805;18;7;7;0;0
8;147;0;6;44;0.0564;731150;0.38;10;5;17408;0;0;42;16;3;3;14.49;3.78;76;0.52;4.60;2244;11;7;2;0;1
9;148;0;8;40;0.0812;1020600;0.26;30;8;15008;0;1;68;18;12;4;8.11;2.48;78;0.5;10.64;2750;3;7;8;0;0
10;10;0;6;5;0.011200000000000002;684300;0.25;44;4;17107;0;1;40;10;3;7;28.17;5.53;8;0.5;7.32;2835;2;7;99;0;0
11;149;0;7;11;0.0059;930606;0.24;23;8;20680;0;0;45;11;2;5;65.69;9.06;61;0.4;7.22;1909;7;7;d;0;0
0;57;0;12;35;0.0414;1465000;0.18;23;8;11535;0;1;127;23;22;17;14.68;2.79;43;0.49;57.47;1655;9;1;8;0;0
1;150;0;7;48;0.0158;889200;0.09;54;12;11856;0;1;75;7;11;7;22.95;4.85;22;0.33;20.38;1660;11;1;6;0;0
2;151;0;7;20;0.0911;1478000;0.28;23;8;32130;0;1;46;13;3;3;12.04;3.38;20;0.41;7.52;510;11;1;3;0;1
3;152;0;12;55;0.0027;1172923;0.13;27;8;8688;0;1;135;18;4;12;73.66;18.63;89;0.25;111.35;109;15;1;2;0;1
4;153;0;9;56;0.0864;1071400;0.26;50;8;18796;0;1;57;15;5;2;9.49;2.67;90;0.39;10.45;1580;20;1;1;1;1
5;154;0;7;13;0.1174;1475000;0.26;26;5;25877;0;1;57;15;7;6;8.18;2.24;48;0.49;5.44;2040;11;1;99;0;0
6;130;1;8;40;0.17739999999999997;1697500;0.19;50;8;23253;0;1;73;14;10;6;4.90;1.84;5;0.41;12.41;3520;3;1;4;0;0
7;155;0;7;57;0.4236;1151200;0.21;46;14;24493;0;0;47;10;7;4;2.31;1.42;91;0.45;2.66;3380;10;1;5;0;0
8;156;0;12;14;0.0034999999999999996;1028255;0.12;10;5;8428;0;1;122;15;12;12;64.92;10.20;92;0.32;60.62;1245;16;1;99;0;0
9;157;1;7;7;0.024900000000000002;1248102;0.08;55;16;26002;0;1;48;4;6;8;24.93;4.93;93;0.38;69.34;840;11;1;7;0;0
10;158;1;9;58;0.0012;1251834;0.1;20;8;11591;0;1;108;11;12;6;187.10;27.65;94;0.27;90.91;504;11;1;99;0;0
11;53;0;6;11;0.0146;945012;0.16;23;8;29531;0;0;32;5;11;2;22.66;4.42;40;0.56;16.61;2505;13;1;d;0;0
0;74;2;8;59;0.07139999999999999;468778;0.11;14;5;5647;0;0;83;9;12;12;10.49;2.29;53;0.4;28.13;614;14;2;99;0;0
