horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;pValue;plats
0;0;0;12;0;0.023700000000000002;1480500;0.18;0;0;11476;0;0;129;23;22;17;25.47;4.70;0;0.48;52.70;1630;0;1;7;0;0.0;0
1;1;0;8;1;0.0818;1187200;0.15;1;0;13804;1;1;86;13;8;6;11.33;3.47;1;0.31;21.76;1195;1;1;3;0;0.0;1
2;2;0;9;2;0.0787;1691100;0.26;2;1;36763;0;1;46;12;8;5;12.41;3.47;2;0.54;27.46;1660;2;1;99;0;0.0;0
3;3;0;8;3;0.0104;1257400;0.09;3;0;12830;1;1;98;9;12;12;48.11;9.82;3;0.34;30.73;845;3;1;2;0;0.0;1
4;4;0;7;4;0.0959;1180612;0.16;4;1;19354;1;1;61;10;11;4;16.52;4.15;4;0.41;8.96;1915;4;1;6;0;0.0;0
5;5;0;6;5;0.19640000000000002;1271400;0.08;1;0;25428;1;1;50;4;7;13;5.04;1.89;5;0.48;24.39;940;5;1;utg;0;0.0;0
6;6;0;6;6;0.1764;1070512;0.18;1;0;31485;2;1;34;6;11;2;5.39;2.07;6;0.56;14.18;3660;6;1;1;1;5.39;1
7;7;0;7;7;0.078;1371849;0.2;2;1;24497;1;1;56;11;11;7;11.03;2.79;7;0.52;9.24;1545;7;1;5;0;0.0;0
8;8;1;6;8;0.1008;1208623;0.22;5;2;20838;1;1;58;13;10;6;9.59;2.88;8;0.5;10.50;2405;7;1;4;0;0.0;0
9;9;0;9;9;0.0165;1073100;0.15;6;3;19872;2;1;54;8;7;8;30.54;7.99;9;0.43;24.88;310;3;1;99;0;0.0;0
10;10;0;6;10;0.0033;1270737;0.12;7;2;29552;0;1;43;5;2;5;103.85;18.28;10;0.28;48.11;295;3;1;d;0;0.0;0
11;11;0;7;11;0.138;1567458;0.24;8;0;34075;1;1;46;11;6;5;3.74;1.96;11;0.48;22.21;1339;8;1;8;0;0.0;0
0;12;2;7;6;0.0172;126600;0.08;9;4;9738;1;1;13;1;3;6;39.43;5.75;12;0.77;5.89;1220;9;2;99;0;0.0;0
1;13;2;5;2;0.16940000000000002;135500;0.25;10;4;16937;1;1;8;2;4;1;3.57;1.64;13;0.88;3.51;1480;9;2;1;1;3.57;1
2;14;2;4;12;0.0149;103500;0.0;11;3;9409;1;1;11;0;1;5;23.59;5.74;14;0.55;18.47;475;9;2;utg;0;0.0;0
3;15;2;6;13;0.1;334271;0.25;12;3;20891;2;1;16;4;4;1;8.12;2.48;15;0.56;13.83;3126;10;2;4;0;0.0;0
4;16;2;7;5;0.39899999999999997;449000;0.24;13;2;12135;2;1;37;9;5;1;3.49;1.92;5;0.41;2.71;3450;5;2;99;0;0.0;0
5;17;2;4;1;0.0048;260300;0.0;14;3;10412;2;1;25;0;1;5;83.02;12.39;1;0.24;88.91;1100;1;2;7;0;0.0;0
6;18;2;9;14;0.002;285700;0.08;15;2;4395;1;1;65;5;6;3;141.98;17.22;16;0.22;60.07;738;8;2;8;0;0.0;0
7;19;2;5;15;0.09029999999999999;439814;0.36;16;4;15707;0;1;28;10;5;2;12.83;3.85;17;0.61;3.47;906;3;2;99;0;0.0;0
8;20;2;6;16;0.0441;389600;0.14;17;2;7951;1;0;49;7;4;5;14.56;3.56;18;0.33;9.63;1094;8;2;5;0;0.0;0
9;21;2;6;3;0.0111;279551;0.22;18;5;12154;1;1;23;5;2;3;99.9;99.9;19;0.43;5.64;1607;11;2;s;0;0.0;0
10;22;2;5;17;0.0526;380000;0.1;19;2;18095;1;1;21;2;5;2;11.33;3.37;20;0.43;21.69;2170;1;2;3;0;0.0;1
11;23;2;6;18;0.0039000000000000003;392200;0.16;19;2;12256;2;1;32;5;6;4;89.84;11.24;21;0.47;13.81;1200;9;2;6;0;0.0;0
12;24;2;5;19;0.011399999999999999;311500;0.17;13;2;17305;1;1;18;3;4;4;44.14;6.85;22;0.61;7.26;2250;3;2;99;0;0.0;0
13;25;2;5;20;0.0023;312750;0.11;20;4;11583;2;1;27;3;4;5;130.73;18.41;23;0.44;16.75;2043;10;2;99;0;0.0;0
14;26;2;5;8;0.0767;367800;0.18;14;3;13135;1;1;28;5;5;6;8.02;2.54;24;0.57;11.87;1545;7;2;2;0;0.0;1
0;27;0;12;21;0.29600000000000004;6723441;0.42;21;6;59499;1;1;113;47;18;10;3.88;1.54;25;0.66;11.02;2115;10;3;2;0;0.0;1
1;28;1;6;6;0.0075;2017210;0.1;22;7;38792;1;0;52;5;11;7;49.11;5.89;8;0.44;19.46;990;7;3;6;0;0.0;0
2;29;0;9;22;0.2214;2394505;0.23;23;7;30310;1;1;79;18;14;11;3.51;1.49;26;0.54;10.09;4314;8;3;5;0;0.0;0
3;30;1;7;15;0.0711;2064098;0.07;24;6;30354;0;0;68;5;5;12;13.71;2.74;17;0.32;63.94;616;3;3;3;0;0.0;1
4;31;0;9;11;0.03;1909844;0.29;25;6;26525;1;1;72;21;5;7;19.25;3.98;11;0.46;18.03;822;8;3;7;0;0.0;0
5;32;0;9;8;0.3157;2148988;0.25;26;6;25891;1;0;83;21;14;13;2.66;1.36;27;0.58;17.85;4715;10;3;1;1;2.66;1
6;33;1;7;19;0.013500000000000002;2009848;0.19;24;6;34065;0;1;59;11;13;8;27.50;4.02;22;0.54;39.10;823;3;3;4;0;0.0;0
7;34;1;7;23;0.0019;1829196;0.14;27;8;49437;0;1;37;5;7;2;90.19;14.87;28;0.38;60.93;65;4;3;99;0;0.0;0
8;35;1;8;24;0.0417;2912379;0.13;28;6;32359;2;1;90;12;11;5;16.07;2.96;29;0.31;7.57;640;9;3;99;0;0.0;0
9;36;0;13;25;0.0013;2376308;0.2;29;6;18139;1;1;131;26;12;9;186.49;20.06;30;0.36;137.37;389;12;3;8;0;0.0;0
0;37;0;6;2;0.009000000000000001;197200;0.18;9;9;11600;0;1;17;3;0;5;65.17;7.78;31;0.47;22.73;1605;8;4;99;0;0.0;0
1;38;2;4;8;0.07980000000000001;228800;0.21;12;10;16342;1;1;14;3;2;1;7.46;2.15;32;0.43;16.24;1664;13;4;5;0;0.0;0
2;39;0;5;26;0.0062;212100;0.33;30;10;14140;3;0;15;5;1;1;99.9;99.9;33;0.47;11.62;2105;9;4;s;0;0.0;0
3;40;0;6;27;0.1844;218300;0.12;31;11;8732;1;0;25;3;4;1;4.19;1.77;34;0.32;7.45;1495;14;4;1;1;4.19;1
4;41;1;4;28;0.15869999999999998;181800;0.15;32;12;13984;2;1;13;2;4;2;5.30;1.68;35;0.62;3.78;2175;3;4;3;0;0.0;1
5;42;0;4;6;0.0709;190100;0.11;33;10;10561;1;1;18;2;2;3;10.96;2.52;26;0.39;13.25;1465;8;4;d;0;0.0;0
6;43;1;5;29;0.0302;161300;0.36;32;12;14663;2;1;11;4;1;1;19.69;3.69;36;0.55;7.89;1985;2;4;99;0;0.0;0
7;44;0;5;30;0.0073;212000;0.14;34;9;15142;1;1;14;2;3;3;45.23;7.25;34;0.57;29.94;1410;14;4;7;0;0.0;0
8;45;0;6;31;0.0021;193100;0.14;15;12;9195;2;0;21;3;3;3;129.56;15.35;37;0.43;30.54;1510;7;4;6;0;0.0;0
9;46;0;4;32;0.4375;222000;0.31;35;13;17076;2;1;13;4;2;0;2.61;1.56;38;0.46;5.61;1315;7;4;2;0;0.0;1
10;47;0;5;33;0.0028000000000000004;195800;0.1;4;11;9790;1;0;20;2;3;3;85.13;12.84;39;0.4;30.78;1205;9;4;4;0;0.0;0
11;48;1;7;3;0.0113;224600;0.14;36;12;8021;2;1;28;4;5;0;28.34;5.04;40;0.32;25.97;1665;4;4;8;0;0.0;0
0;49;0;8;21;0.5515;411072;0.63;31;11;11744;1;1;35;22;3;2;1.94;1.31;25;0.77;1.50;2790;10;5;6;0;0.0;0
1;50;2;4;6;0.1668;321719;0.42;32;12;26809;2;0;12;5;5;0;7.23;2.11;8;0.83;2.33;3555;7;5;7;0;0.0;0
2;51;0;7;34;0.0026;415500;0.05;37;13;6595;1;0;63;3;10;6;54.85;7.62;41;0.3;69.13;963;7;5;99;0;0.0;0
3;52;1;6;15;0.0806;480906;0.34;38;11;12655;2;1;38;13;6;3;10.60;2.87;17;0.58;4.26;1275;3;5;2;0;0.0;1
4;53;0;6;35;0.0666;338000;0.5;38;11;21125;3;0;16;8;0;0;7.48;2.07;42;0.5;8.61;1495;7;5;3;0;0.0;1
5;54;1;6;16;0.0207;373140;0.48;39;11;14925;1;1;25;12;3;2;11.44;2.93;43;0.68;3.36;942;9;5;4;0;0.0;0
6;55;1;5;36;0.0407;440136;0.27;37;13;20006;1;1;22;6;3;1;14.96;3.51;44;0.45;14.01;2108;3;5;5;0;0.0;0
7;56;0;5;32;0.008;269500;0.28;4;11;14972;1;1;18;5;4;0;59.91;8.83;45;0.5;6.96;1810;7;5;1;1;59.91;1
8;57;1;4;37;0.041299999999999996;479500;0.23;3;13;36884;2;0;13;3;3;3;18.90;3.77;46;0.69;3.29;3455;8;5;8;0;0.0;0
9;58;0;7;2;0.0028000000000000004;486250;0.14;38;11;11308;1;0;43;6;5;4;69.64;12.54;47;0.35;26.34;1265;7;5;99;0;0.0;0
10;59;1;5;38;0.0022;327914;0.22;40;11;14257;2;1;23;5;1;6;113.97;12.16;48;0.52;16.63;1542;10;5;99;0;0.0;0
11;60;0;5;11;0.016200000000000003;360400;0.32;41;13;18968;1;1;19;6;3;4;29.92;5.72;11;0.68;7.51;1890;8;5;d;0;0.0;0
0;61;2;5;6;0.24600000000000002;249600;0.18;19;2;14682;2;1;17;3;3;1;4.72;1.78;49;0.41;10.91;1848;9;6;4;0;0.0;0
